id;nome;data_nascimento;curso_id;turma_id;salario_medio;trabalha;cidade;estado;uso_alcool;fuma;uso_drogas;problemas_mentais;frequencia_percentual;media_notas;avaliacoes_realizadas
596;Noah Monteiro;2003-04-30;7;8;1446.23;0.0;Ferreira da Mata;XX;1.0;0.0;1.0;Cumque molestias ex eveniet repellendus architecto deleniti.;0.0;;0
597;André Garcia;2006-04-30;6;18;4949.29;1.0;Moura do Norte;MS;1.0;1.0;0.0;;50.0;3.23;2
598;Maria Cecília Costa;1995-11-23;1;5;4717.09;0.0;;BA;1.0;0.0;1.0;;0.0;4.44;2
599;Sr. Alexandre Mendes;2002-12-25;7;16;1287.42;1.0;Moura Verde;GO;1.0;0.0;0.0;;40.0;4.47;3
600;Theodoro Marques;2001-09-01;1;8;1880.91;1.0;Pimenta do Campo;PE;1.0;1.0;1.0;;100.0;7.05;2
601;;1998-03-14;1;8;3558.2;1.0;Câmara;MG;0.0;1.0;1.0;;50.0;0.86;1
602;Dra. Zoe Rezende;1994-08-27;5;15;897.97;1.0;Santos do Amparo;PR;0.0;1.0;1.0;;50.0;;0
603;Otto Araújo;1999-11-18;3;17;3540.7;0.0;!!!INVALID_DATA!!!;PB;1.0;0.0;1.0;;50.0;5.2;2
604;Esther Castro;2000-08-15;3;5;2651.77;0.0;Macedo;AM;0.0;0.0;1.0;;0.0;0.66;1
605;Maria Azevedo;2004-07-09;5;8;2523.83;0.0;Castro;PI;1.0;0.0;1.0;;62.5;5.3;1
606;Raul Rezende;2006-11-06;7;1;2668.68;0.0;Ribeiro;MT;1.0;0.0;0.0;;25.0;7.57;2
607;Srta. Zoe Silveira;2000-03-15;2;13;2666.36;1.0;da Cunha da Prata;MS;1.0;0.0;1.0;;50.0;7.88;2
608;Manuella Ribeiro;2006-06-16;1;20;974.45;0.0;Novais de Duarte;BA;0.0;0.0;1.0;;33.33;;0
609;Cauê Pereira;;2;15;692.63;0.0;da Paz da Praia;PA;0.0;0.0;1.0;;50.0;3.28;4
610;Anna Liz Pires;1995-06-24;3;2;3944.71;1.0;Fogaça Grande;BA;0.0;1.0;1.0;;100.0;9.15;1
611;João Barbosa;2005-08-15;7;2;1518.78;1.0;Alves;XX;0.0;1.0;1.0;Maiores enim totam suscipit quaerat repellat corrupti possimus.;60.0;9.23;1
612;Sr. Benicio Aragão;;2;10;632.95;1.0;Cirino do Oeste;ES;1.0;0.0;0.0;;0.0;;0
613;João Jesus;1999-08-22;5;16;2133.54;0.0;Araújo;RR;0.0;0.0;1.0;;50.0;;0
614;Heloisa Cardoso;1994-11-09;2;18;2140.84;0.0;Moura das Pedras;RR;0.0;1.0;0.0;;50.0;6.78;2
615;Dr. Matteo Aparecida;2005-10-21;6;17;635.14;0.0;Silveira;SE;0.0;0.0;0.0;;100.0;2.24;3
616;Levi Câmara;2004-11-04;7;13;2921.23;1.0;Costa;RR;0.0;1.0;1.0;;66.67;;0
617;Sr. Marcos Vinicius Rios;1999-12-03;2;7;3605.99;0.0;Azevedo;MT;1.0;0.0;1.0;Sapiente earum veniam culpa eaque.;0.0;9.85;1
618;!!!INVALID_DATA!!!;2003-12-02;4;19;3296.8;0.0;da Cruz das Flores;;0.0;0.0;0.0;Fugit consequatur fugiat minus atque.;0.0;7.27;1
619;Sr. João Gabriel Rios;1995-08-31;7;19;972.91;0.0;Borges;CE;1.0;1.0;0.0;Rerum cupiditate fugiat aut.;50.0;3.52;2
620;Maria Júlia Castro;1998-04-14;2;15;3952.11;1.0;Teixeira;AC;1.0;0.0;;;25.0;5.11;2
621;Lucas Gabriel Cavalcanti;;3;10;2397.99;1.0;Moura do Oeste;RR;1.0;0.0;1.0;;50.0;;0
622;Ravi Lucca Lima;2001-03-18;9;9;;0.0;Martins do Sul;RR;0.0;1.0;0.0;;66.67;7.73;4
623;Fernando Sá;2004-03-19;4;20;967.38;0.0;Almeida;MA;0.0;0.0;1.0;;60.0;8.79;2
624;Maria Isis Carvalho;2004-12-30;7;14;2600.2;0.0;Cirino de Costela;RJ;1.0;1.0;0.0;Nemo iusto vitae dicta.;60.0;1.48;2
625;Melina da Cunha;2002-10-26;9;5;666.0;0.0;Leão da Prata;AL;0.0;;0.0;;100.0;2.69;1
626;Luan Costela;1996-09-03;7;20;2318.64;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;MA;1.0;1.0;1.0;;;;0
627;Sr. Liam da Cunha;2002-02-12;7;13;1681.19;0.0;Siqueira do Amparo;TO;0.0;0.0;0.0;;60.0;6.45;3
628;Davi Miguel Almeida;2007-03-08;2;1;0.0;1.0;da Paz;ES;0.0;1.0;0.0;;100.0;1.01;1
629;;1996-06-22;7;19;637.31;1.0;da Mota do Oeste;ES;0.0;0.0;;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;42.86;5.21;1
630;Ana Novaes;2006-09-05;8;5;2985.85;0.0;Duarte;MS;0.0;1.0;1.0;;33.33;2.58;3
631;Nathan Casa Grande;2004-07-29;10;14;0.0;0.0;Oliveira;PB;1.0;0.0;0.0;;0.0;0.13;1
632;;1995-12-04;10;6;4252.57;1.0;Souza;MS;0.0;1.0;1.0;;57.14;5.65;2
633;Larissa da Rosa;2004-08-02;7;18;2734.97;0.0;Nogueira;MA;0.0;1.0;0.0;Officiis nam dolorem fugiat.;100.0;2.08;1
634;Lorenzo Ramos;2004-02-09;6;14;3875.2;1.0;Ribeiro da Prata;SC;1.0;0.0;1.0;;33.33;1.31;1
635;Sr. Emanuel Peixoto;1994-07-18;7;17;1611.86;1.0;!!!INVALID_DATA!!!;GO;1.0;1.0;0.0;;50.0;0.69;1
636;Pedro Lucas da Mota;2005-11-27;4;10;1581.34;1.0;Guerra de Minas;XX;1.0;1.0;1.0;;75.0;5.03;2
637;Danilo Nogueira;;1;3;3012.96;1.0;Silveira;SE;0.0;0.0;0.0;;60.0;7.84;2
638;Hadassa da Cunha;1998-12-05;10;14;2342.63;1.0;Siqueira de Brito;SC;;0.0;1.0;;40.0;5.76;2
639;Srta. Gabrielly Martins;2004-01-07;1;7;1070.51;1.0;Pires;GO;1.0;1.0;0.0;;25.0;3.9;1
640;Lucas Gabriel da Rocha;2005-02-16;5;18;3362.24;0.0;Araújo Grande;PR;0.0;1.0;0.0;;66.67;;0
641;Pietra Mendonça;1995-05-15;8;1;4776.61;0.0;!!!INVALID_DATA!!!;RN;;1.0;0.0;;33.33;6.81;3
642;Juliana Martins;1995-09-02;10;15;4478.57;1.0;Monteiro;RO;1.0;0.0;1.0;;50.0;6.03;1
643;Caroline Caldeira;2002-05-21;3;15;3113.3;1.0;Melo da Prata;SC;0.0;1.0;0.0;;66.67;2.61;3
644;Maria Vitória Brito;2002-02-12;5;14;4412.46;1.0;Abreu;TO;1.0;1.0;;;66.67;4.48;1
645;João Pedro Duarte;1998-04-10;10;9;1946.67;1.0;da Conceição da Praia;RS;1.0;1.0;0.0;;50.0;5.49;2
646;Vitor Santos;2000-09-11;6;7;0.0;1.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;SC;0.0;1.0;1.0;Culpa dolor quas asperiores veniam nobis temporibus dolorum.;66.67;6.89;1
647;Cecília Camargo;2006-09-05;10;20;2227.39;0.0;da Mata;XX;1.0;0.0;0.0;;0.0;6.11;1
648;Renan Sales;1995-06-27;3;2;2797.43;1.0;Cassiano;RJ;0.0;0.0;0.0;Debitis officia suscipit in.;100.0;7.82;1
649;Bruna Novais;1995-05-24;8;15;1275.34;1.0;Camargo;RS;1.0;1.0;0.0;;60.0;;0
650;João Moura;1996-09-06;1;9;2725.89;;Garcia;PE;0.0;0.0;1.0;;50.0;9.28;1
651;Sr. Benjamin Martins;2002-11-25;8;2;1852.91;0.0;Souza;;0.0;0.0;1.0;;0.0;4.82;2
652;Melissa Barros;2006-07-28;7;5;4609.72;1.0;Rezende;SP;1.0;1.0;0.0;;100.0;6.87;1
653;Sr. Paulo Abreu;2006-06-14;8;15;1893.15;0.0;Nunes;AL;0.0;1.0;0.0;;33.33;6.04;2
654;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;1999-12-05;2;10;4446.57;0.0;da Mata;MG;0.0;0.0;0.0;;0.0;;0
655;Dr. Davi Luiz da Luz;1998-11-11;9;6;1810.21;1.0;Alves de Viana;TO;0.0;0.0;0.0;;0.0;;0
656;Ísis Fogaça;2000-10-21;8;11;3285.52;1.0;Martins do Sul;PA;1.0;0.0;1.0;;0.0;5.42;1
657;Pietra Freitas;2002-02-04;10;5;4707.42;1.0;Souza da Praia;AL;1.0;0.0;0.0;Itaque minima iusto doloremque expedita libero eos.;66.67;4.77;4
658;Henry Cassiano;2000-01-20;10;12;4324.63;1.0;Pinto;RN;0.0;0.0;1.0;;75.0;4.49;5
659;Juan Macedo;2004-03-20;3;3;1529.7;1.0;Camargo da Prata;PR;1.0;1.0;1.0;;0.0;;0
660;Rafael Mendonça;2003-05-18;7;4;3130.66;0.0;Moreira;PE;0.0;0.0;1.0;;50.0;5.17;2
661;Luísa Gonçalves;2001-07-13;4;2;1476.53;0.0;Machado de Minas;MT;0.0;0.0;0.0;;25.0;3.57;1
662;Sra. Catarina Pinto;2007-04-09;6;10;2210.11;;Cardoso da Serra;TO;1.0;1.0;0.0;;28.57;7.81;3
663;Dr. Theo Sampaio;2006-06-16;5;16;1439.11;1.0;Carvalho;PE;1.0;1.0;1.0;;0.0;1.43;1
664;José Pedro Jesus;1995-04-20;8;9;2442.84;0.0;Silveira;RN;0.0;1.0;0.0;Facere eveniet libero eius beatae labore perferendis.;40.0;3.87;2
665;Rhavi Guerra;2002-03-09;10;10;1832.27;0.0;Castro de Minas;PR;1.0;1.0;0.0;;100.0;5.26;3
666;Emilly Rios;1998-12-13;5;15;1511.44;0.0;Sousa;!!;1.0;1.0;1.0;;25.0;6.29;3
667;Dante das Neves;2001-04-11;4;11;838.18;1.0;Siqueira das Flores;AC;1.0;0.0;1.0;;25.0;5.97;2
668;Rebeca Marques;2001-02-27;4;10;3574.36;1.0;Souza;MG;0.0;1.0;0.0;Necessitatibus a vero ab at doloremque.;0.0;6.99;1
669;Maria Clara Correia;1995-06-02;2;20;1203.28;0.0;Novaes do Oeste;PI;0.0;0.0;0.0;;33.33;7.8;3
670;Rafael Souza;;9;19;0.0;1.0;Castro de Alves;BA;0.0;0.0;0.0;;40.0;6.44;3
671;Maria Vitória Macedo;1994-10-18;9;12;4888.95;0.0;Cardoso;ES;0.0;1.0;1.0;;66.67;4.62;3
672;Eduardo Monteiro;2007-02-17;4;10;799.1;1.0;Andrade;AP;0.0;1.0;0.0;Ab distinctio esse temporibus quos ipsam.;33.33;6.25;2
673;;2006-07-02;5;17;4614.53;0.0;Cirino dos Dourados;MT;0.0;0.0;1.0;;50.0;;0
674;Gabrielly Caldeira;2000-02-24;1;1;4671.78;1.0;Guerra do Norte;MT;1.0;0.0;0.0;Assumenda possimus aspernatur vero.;25.0;;0
675;Maria Eduarda Rios;1994-11-01;1;1;4833.05;1.0;Castro;MA;0.0;1.0;1.0;Reiciendis eos sunt.;20.0;4.28;1
676;Lucas Gabriel Correia;1998-08-09;1;11;4782.16;0.0;Lopes de Fernandes;PA;1.0;0.0;0.0;;;8.12;1
677;José Leão;2004-05-26;3;4;2963.76;0.0;Ribeiro;RJ;1.0;0.0;1.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;0.0;0.41;1
678;Ian Rocha;1996-10-26;9;20;1648.91;1.0;Moraes;AL;0.0;;0.0;;75.0;5.63;5
679;Hellena Barros;2003-07-30;8;20;1146.26;1.0;Duarte;CE;1.0;0.0;0.0;;75.0;2.7;1
680;Maria Luísa Marques;1999-10-02;7;20;4478.95;0.0;Oliveira de Cunha;AM;0.0;0.0;0.0;;66.67;4.75;2
681;Sara Sousa;2003-07-23;2;15;3526.8;1.0;da Luz;PA;0.0;0.0;0.0;;33.33;;0
682;Mathias da Conceição;2003-11-15;4;15;4581.12;0.0;da Conceição;PA;0.0;0.0;1.0;;40.0;7.84;1
683;Jade Fonseca;1998-07-06;8;16;1202.25;1.0;Cirino do Norte;;0.0;1.0;0.0;;50.0;2.99;1
684;Cauê Ribeiro;1995-12-24;7;2;2576.85;1.0;da Mota do Oeste;DF;0.0;1.0;0.0;;33.33;9.88;1
685;Agatha Camargo;2006-11-13;7;4;4964.9;0.0;Fonseca Paulista;SP;1.0;1.0;1.0;Dicta illo velit velit blanditiis animi vel ab.;100.0;;0
686;Letícia Nogueira;1997-10-16;3;7;505.52;0.0;Correia;SE;1.0;0.0;1.0;;66.67;2.56;2
687;Júlia Gonçalves;1996-10-08;9;12;2118.9;1.0;Aragão;ES;0.0;0.0;0.0;;100.0;5.43;2
688;Matheus Câmara;1997-11-17;3;4;907.2;1.0;Farias;CE;0.0;0.0;0.0;;33.33;1.85;2
689;Kamilly Moreira;2006-09-07;2;5;3292.6;0.0;da Paz de Pacheco;MA;1.0;1.0;0.0;;83.33;6.38;2
690;Luana da Costa;2004-06-24;7;16;1604.54;0.0;Farias do Galho;MT;1.0;0.0;1.0;;60.0;7.67;2
691;Leonardo Moraes;1994-06-09;10;17;2643.76;0.0;Nunes do Sul;PR;1.0;0.0;0.0;Distinctio iste at est natus explicabo tenetur.;66.67;3.84;2
692;!!!INVALID_DATA!!!;1994-07-11;9;16;4898.03;1.0;Vasconcelos;PR;0.0;0.0;1.0;;100.0;2.07;2
693;Ravy Gonçalves;;4;1;4884.79;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;PE;1.0;0.0;0.0;;50.0;3.29;2
694;Larissa Cardoso;2002-01-23;8;4;2806.31;1.0;Pinto da Prata;MS;0.0;0.0;0.0;;50.0;5.77;2
695;Dra. Eloá Farias;2000-08-28;7;5;4793.03;0.0;Costa;SE;1.0;1.0;1.0;;60.0;4.03;2
696;Maria Luiza Castro;2004-05-10;9;4;1932.23;0.0;Mendes dos Dourados;RN;1.0;0.0;0.0;Eveniet cumque commodi.;50.0;0.72;1
697;Cauê Abreu;2001-06-25;1;16;;0.0;Nascimento;MT;0.0;0.0;1.0;;50.0;6.69;1
698;João Felipe Monteiro;2004-03-11;5;8;3913.25;0.0;Sá de Abreu;SP;0.0;1.0;0.0;;66.67;;0
699;Rodrigo da Costa;2001-11-22;10;11;619.68;1.0;Borges;MA;0.0;1.0;0.0;Autem nam vitae delectus.;50.0;;0
700;Lara Almeida;2005-06-04;7;3;4972.57;1.0;Santos de Pereira;MG;1.0;1.0;1.0;;33.33;;0
701;Eloah Fogaça;1998-12-30;6;17;2899.14;1.0;Camargo das Pedras;;0.0;0.0;1.0;Consequatur dignissimos minima autem.;0.0;8.09;1
702;Dr. Thales Brito;2004-11-26;9;6;1895.78;1.0;Leão Verde;RJ;0.0;1.0;0.0;;40.0;;0
703;!!!INVALID_DATA!!!;;2;1;4587.65;1.0;Moreira do Sul;XX;1.0;1.0;1.0;;100.0;4.6;2
704;Sr. Luiz Fernando Moreira;1999-11-17;3;13;2948.41;0.0;Araújo de Viana;MT;1.0;1.0;1.0;;66.67;8.33;1
705;Dr. Enzo Gabriel da Cruz;1994-11-08;9;19;3279.84;0.0;Sampaio;AC;1.0;1.0;1.0;;100.0;;0
706;Aylla Farias;2002-03-16;5;17;2860.26;0.0;Lopes;PE;1.0;1.0;1.0;;50.0;4.44;1
707;Dr. Vitor Monteiro;2004-11-26;2;3;1508.47;1.0;!!!INVALID_DATA!!!;XX;0.0;0.0;;;100.0;2.22;1
708;Théo Martins;1995-06-17;5;20;729.34;1.0;Rodrigues;PI;1.0;1.0;0.0;;42.86;4.61;4
709;Miguel Pimenta;2004-08-07;3;4;3864.51;1.0;Pimenta das Flores;RN;0.0;1.0;1.0;;0.0;1.54;2
710;Maitê Rezende;2005-01-25;10;4;969.51;1.0;Borges de Costela;PI;1.0;1.0;0.0;;80.0;6.54;3
711;Jade Pastor;1999-01-08;3;7;2487.59;1.0;Teixeira de Santos;PE;;0.0;1.0;Non sapiente ipsam reiciendis illo nostrum.;50.0;;0
712;Sra. Rafaela da Mata;1995-02-11;9;6;3572.54;0.0;Casa Grande;RS;0.0;1.0;0.0;;66.67;;0
713;Caleb Moraes;2005-10-10;1;15;1145.9;0.0;Borges;RS;0.0;0.0;1.0;;80.0;7.1;3
714;Luiza Nunes;2002-06-01;5;20;1186.63;1.0;Souza;XX;1.0;0.0;1.0;;0.0;3.01;3
715;Maria Isis Fogaça;2003-01-29;1;17;3071.35;0.0;Pacheco das Pedras;AL;0.0;0.0;0.0;;50.0;3.01;1
716;Luan Novaes;1997-12-19;5;14;2562.32;0.0;Aparecida da Mata;SE;1.0;1.0;0.0;;50.0;4.07;1
717;Mirella Castro;2001-12-19;2;4;2251.87;0.0;Vieira;PR;1.0;0.0;1.0;;100.0;7.54;3
718;Lara Fernandes;1996-01-18;6;7;3327.32;0.0;Brito da Praia;AM;1.0;1.0;0.0;;0.0;5.22;2
719;João Felipe Sá;1994-06-20;5;15;659.8;1.0;Ramos de Goiás;CE;0.0;1.0;1.0;;0.0;7.13;2
720;Marcela Andrade;1998-12-12;5;3;3840.55;0.0;Fogaça;PE;0.0;0.0;0.0;;0.0;;0
721;Heloisa Rocha;2002-12-17;1;1;2122.67;0.0;Rodrigues;RR;0.0;0.0;1.0;;100.0;2.04;1
722;Bruna da Conceição;1994-05-24;8;2;3554.27;0.0;Costela dos Dourados;RS;1.0;0.0;1.0;;83.33;7.62;3
723;Olivia Alves;2001-09-14;3;8;1693.03;0.0;Moreira;DF;0.0;0.0;1.0;;75.0;6.79;2
724;Marcela Fernandes;1998-06-08;4;20;1034.26;1.0;Barros;MG;0.0;1.0;1.0;Laborum veritatis quaerat iste.;33.33;5.46;1
725;Sr. Vitor Gabriel Vargas;2000-12-23;5;13;2109.55;1.0;da Rosa;MT;0.0;0.0;0.0;;66.67;;0
726;Luna Aparecida;1998-12-17;8;5;4965.72;0.0;Moura da Mata;PI;0.0;0.0;0.0;;25.0;2.2;1
727;Dra. Natália Guerra;1996-06-09;1;1;827.37;0.0;Albuquerque dos Dourados;DF;1.0;0.0;0.0;Temporibus qui enim officiis et optio incidunt.;0.0;3.6;1
728;Sara Jesus;2000-02-16;1;13;2908.49;0.0;Carvalho do Galho;SE;1.0;0.0;0.0;;33.33;4.49;1
729;Daniel Viana;1995-04-12;3;4;4854.19;;Vieira;AL;0.0;0.0;1.0;;85.71;;0
730;Luana Sousa;;9;16;2182.75;0.0;Dias;PR;0.0;1.0;1.0;;25.0;;0
731;Sra. Caroline Fernandes;2005-09-28;9;19;3900.74;1.0;Mendonça de Minas;MT;1.0;1.0;1.0;Rem impedit officia.;0.0;4.89;4
732;Vitor Azevedo;2001-05-27;10;4;3598.51;1.0;Castro;!!;1.0;0.0;0.0;;66.67;2.26;1
733;Gabrielly Montenegro;2003-08-10;6;11;911.57;1.0;Azevedo de Lima;AL;1.0;0.0;1.0;;50.0;;0
734;Julia Lima;1998-11-02;2;4;3806.12;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;ES;0.0;1.0;1.0;;50.0;8.23;4
735;Thomas da Costa;1995-10-31;6;9;1700.59;1.0;Marques de Nascimento;RN;0.0;1.0;0.0;;66.67;5.62;4
736;Leandro Freitas;2004-12-06;4;12;1721.98;1.0;Ferreira;AM;1.0;0.0;0.0;;50.0;4.32;2
737;Diego Cavalcante;2006-01-30;9;12;4789.89;1.0;Ribeiro de da Mata;GO;0.0;0.0;1.0;;75.0;0.69;2
738;Raul Teixeira;2002-12-27;3;8;2260.81;0.0;Alves do Sul;BA;0.0;0.0;0.0;;66.67;1.66;1
739;Sr. Vicente Marques;2001-12-24;4;9;3345.46;0.0;Monteiro;RO;1.0;1.0;0.0;;75.0;3.33;2
740;Maysa Andrade;1999-07-18;8;3;1841.73;1.0;Costela de Moreira;MG;1.0;0.0;1.0;;50.0;8.57;1
741;Maria Cecília da Paz;1997-09-24;1;12;;1.0;;PR;0.0;1.0;0.0;;100.0;;0
742;Davi Lucas Lopes;;8;14;1929.37;0.0;da Cunha;PB;0.0;1.0;1.0;Vitae maiores neque nulla sunt aspernatur.;40.0;1.94;1
743;Gael Henrique Carvalho;2004-10-14;4;3;4805.94;1.0;Fernandes;AM;0.0;1.0;1.0;;50.0;0.61;2
744;Heitor Rocha;1998-01-30;9;16;1612.08;0.0;Casa Grande;RJ;1.0;1.0;0.0;Explicabo earum consequatur minima dolorum.;50.0;9.97;1
745;Breno Albuquerque;1994-05-02;3;2;1326.24;1.0;Caldeira do Campo;PR;0.0;1.0;1.0;;33.33;6.2;5
746;Fernanda Caldeira;1999-03-26;1;12;3318.46;1.0;Machado;;1.0;0.0;0.0;;66.67;5.56;3
747;Dra. Laura Nogueira;;4;8;3946.7;1.0;Oliveira de Goiás;RS;1.0;1.0;1.0;;50.0;6.22;1
748;Manuela Aparecida;2003-10-23;7;17;3806.75;0.0;da Mata das Flores;CE;1.0;0.0;0.0;;0.0;7.66;3
749;João Miguel Porto;2005-11-13;9;2;3626.69;1.0;da Cruz;GO;1.0;1.0;0.0;;33.33;4.52;5
750;Júlia Jesus;2001-12-11;2;3;1351.98;0.0;Teixeira de Vargas;RJ;0.0;0.0;1.0;;60.0;7.87;2
751;Gael Alves;1999-07-21;9;15;3410.82;;Guerra do Norte;;0.0;1.0;;Impedit perferendis ducimus unde placeat temporibus.;50.0;;0
752;Anthony Gabriel Peixoto;2000-09-02;6;15;2848.24;1.0;Duarte da Mata;MG;1.0;1.0;0.0;;50.0;4.83;2
753;Caleb da Conceição;1995-11-21;7;15;3428.58;1.0;Costa de Cavalcante;PB;0.0;1.0;1.0;;66.67;5.2;2
754;Sr. José Miguel da Mota;2002-10-09;4;20;4393.65;0.0;Costa;MG;0.0;0.0;0.0;;50.0;;0
755;Yasmin Martins;2005-02-04;7;6;2190.92;1.0;Mendonça de Minas;MA;0.0;1.0;0.0;;75.0;1.29;1
756;Maria Vitória Garcia;1999-04-25;6;4;2250.37;0.0;Souza;MT;1.0;0.0;;;100.0;7.15;1
757;Olivia Campos;2001-03-15;4;17;2111.79;0.0;Martins de Ribeiro;SC;0.0;1.0;0.0;;40.0;5.05;2
758;Antonella Vasconcelos;2002-08-02;7;17;2592.39;1.0;Machado;;1.0;;1.0;;83.33;8.05;1
759;Enzo Dias;2004-08-09;9;15;2904.28;0.0;;AM;0.0;1.0;0.0;;0.0;1.55;1
760;Jade Dias;2002-06-27;10;19;3861.05;1.0;Aragão;SP;1.0;0.0;0.0;;50.0;3.22;1
761;João Lucas da Cruz;1998-02-09;8;10;1587.34;0.0;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX;SE;0.0;0.0;0.0;Occaecati aliquid necessitatibus perferendis voluptate amet minus.;33.33;5.24;2
762;João da Cruz;1999-07-16;4;10;541.55;1.0;Peixoto;AP;0.0;1.0;0.0;;75.0;0.08;1
763;Dr. Juan Caldeira;2000-09-10;8;12;2518.46;0.0;Fogaça de Camargo;RN;1.0;0.0;1.0;;42.86;5.73;2
764;Lunna Farias;2003-12-10;2;4;1214.81;0.0;Silveira de Macedo;PE;1.0;0.0;0.0;Tempore expedita dolores repudiandae labore hic maiores.;100.0;9.94;1
765;Sra. Eloá Pimenta;2004-10-12;1;11;2414.0;0.0;Cavalcanti da Prata;AL;1.0;0.0;1.0;Corporis repudiandae ad qui eum.;0.0;;0
766;Stella Mendes;1998-11-22;7;18;4859.17;0.0;Vieira;SE;0.0;0.0;1.0;;100.0;3.13;2
767;Sra. Melina Vieira;2006-11-11;5;11;3094.5;1.0;da Conceição;CE;1.0;1.0;1.0;;60.0;3.15;3
768;Thales Leão;1995-09-17;9;5;2095.72;1.0;Costa da Serra;PA;1.0;1.0;1.0;;100.0;3.29;1
769;!!!INVALID_DATA!!!;1998-08-25;3;18;3205.3;1.0;Araújo Verde;MG;0.0;0.0;1.0;;100.0;;0
770;Srta. Ayla Carvalho;2002-03-07;6;19;3753.77;1.0;;BA;0.0;0.0;0.0;;0.0;;0
771;Dr. Miguel Nogueira;1995-05-28;2;11;3352.57;1.0;da Mata de Novaes;PB;1.0;0.0;1.0;;60.0;5.88;2
772;Ana Júlia Caldeira;2000-03-10;9;5;1982.27;1.0;Siqueira;RJ;1.0;1.0;0.0;;50.0;3.35;3
773;Luan da Rosa;1996-01-22;10;6;1537.34;1.0;Rios dos Dourados;RJ;0.0;1.0;1.0;;100.0;1.94;1
774;Oliver Barros;1994-07-03;2;19;3627.8;0.0;Moreira dos Dourados;BA;1.0;1.0;1.0;Unde provident quod sunt.;33.33;4.89;2
775;Mateus Freitas;1996-02-19;10;17;3491.45;1.0;Mendonça de Almeida;CE;1.0;0.0;1.0;;40.0;4.48;3
776;Matteo Nunes;2003-07-01;9;11;4976.73;1.0;Machado Alegre;RN;1.0;1.0;0.0;Perferendis in incidunt amet tempora dolore.;33.33;5.36;2
777;Sr. Alexandre Macedo;1995-09-18;6;16;4894.17;0.0;Rodrigues dos Dourados;AC;0.0;0.0;1.0;;40.0;1.88;1
778;Maitê Santos;2002-08-20;6;9;1475.38;0.0;;CE;1.0;1.0;0.0;Corrupti atque ipsa id.;50.0;4.08;2
779;Catarina Fonseca;1994-12-03;10;1;525.6;0.0;Cardoso;MG;1.0;1.0;0.0;Vero fugiat fugit odit corrupti.;66.67;2.59;3
780;Valentim Nascimento;1996-11-05;6;6;2665.66;0.0;Sampaio;RR;0.0;1.0;0.0;;16.67;5.92;4
781;Sr. Ravi Lucca Souza;2004-01-12;10;13;2368.48;1.0;Azevedo;PA;0.0;0.0;0.0;;100.0;;0
782;Dra. Luiza Barbosa;2004-02-23;7;6;1609.79;0.0;Carvalho de da Rocha;;0.0;1.0;0.0;Libero est nesciunt voluptatum doloremque fugit doloribus.;50.0;1.39;1
783;Marcelo Pereira;2002-05-19;3;8;1225.67;1.0;Albuquerque;XX;0.0;0.0;1.0;;60.0;8.77;1
784;Ana Carolina Martins;2000-06-27;3;8;3453.8;0.0;Camargo;MS;0.0;0.0;0.0;;100.0;2.67;3
785;Rhavi da Luz;2000-05-03;7;12;2693.84;1.0;Dias;PI;0.0;0.0;0.0;;0.0;0.22;1
786;Pedro Duarte;1997-03-11;8;9;3518.42;0.0;Alves do Sul;MG;0.0;1.0;0.0;;100.0;1.6;1
787;Emanuelly da Costa;2002-08-11;6;18;3316.56;0.0;Oliveira Verde;CE;;1.0;0.0;;100.0;3.73;3
788;João Felipe Araújo;2002-05-04;7;13;1421.99;1.0;Pastor;PI;0.0;0.0;0.0;;100.0;9.37;1
